,Driver,Position,Stint,Compound,LapNumber,LapTime,TyreLife,LapTimeSeconds,FullName,Color,CumulativeLapTime,SmallestCumulativeLapTime,IntervalToLeader,NormalizedIntervalToLeader
64,VER,1.0,3.0,MEDIUM,65.0,0 days 00:01:22.223000,17.0,82.223,max verstappen,#0600ef,5480.001,5480.001,0.0,1.0
65,VER,1.0,3.0,MEDIUM,66.0,0 days 00:01:21.941000,18.0,81.941,max verstappen,#0600ef,5561.942,5561.942,0.0,1.0
66,VER,1.0,3.0,MEDIUM,67.0,0 days 00:01:21.754000,19.0,81.754,max verstappen,#0600ef,5643.696,5643.696,0.0,1.0
67,VER,1.0,3.0,MEDIUM,68.0,0 days 00:01:21.524000,20.0,81.524,max verstappen,#0600ef,5725.22,5725.22,0.0,1.0
68,VER,1.0,3.0,MEDIUM,69.0,0 days 00:01:21.180000,21.0,81.18,max verstappen,#0600ef,5806.4,5806.4,0.0,1.0
69,VER,1.0,3.0,MEDIUM,70.0,0 days 00:01:22.234000,22.0,82.234,max verstappen,#0600ef,5888.634,5888.634,0.0,1.0
70,NOR,3.0,1.0,MEDIUM,1.0,0 days 00:01:29.901000,1.0,89.901,lando norris,#eeb370,89.901,87.912,1.98899999999999,1.0226248976248975
71,NOR,3.0,1.0,MEDIUM,2.0,0 days 00:01:25.820000,2.0,85.82,lando norris,#eeb370,175.721,173.06900000000002,2.651999999999987,1.015323368136408
72,NOR,3.0,1.0,MEDIUM,3.0,0 days 00:01:25.205000,3.0,85.205,lando norris,#eeb370,260.926,258.139,2.7869999999999777,1.010796508857631
73,NOR,3.0,1.0,MEDIUM,4.0,0 days 00:01:24.794000,4.0,84.794,lando norris,#eeb370,345.71999999999997,342.681,3.0389999999999873,1.0088683060922548
74,NOR,3.0,1.0,MEDIUM,5.0,0 days 00:01:24.893000,5.0,84.893,lando norris,#eeb370,430.613,427.524,3.0889999999999986,1.007225325361851
75,NOR,3.0,1.0,MEDIUM,6.0,0 days 00:01:24.826000,6.0,84.826,lando norris,#eeb370,515.439,512.12,3.31899999999996,1.0064809029133797
76,NOR,3.0,1.0,MEDIUM,7.0,0 days 00:01:25.138000,7.0,85.138,lando norris,#eeb370,600.577,596.607,3.9700000000000273,1.0066542967145877
77,NOR,3.0,1.0,MEDIUM,8.0,0 days 00:01:25.005000,8.0,85.005,lando norris,#eeb370,685.582,681.116,4.466000000000008,1.0065568860517151
78,NOR,3.0,1.0,MEDIUM,9.0,0 days 00:01:25.199000,9.0,85.199,lando norris,#eeb370,770.781,765.553,5.227999999999952,1.006829050372737
79,NOR,3.0,1.0,MEDIUM,10.0,0 days 00:01:24.958000,10.0,84.958,lando norris,#eeb370,855.739,849.958,5.781000000000063,1.0068015125453258
80,NOR,3.0,1.0,MEDIUM,11.0,0 days 00:01:24.875000,11.0,84.875,lando norris,#eeb370,940.614,934.42,6.194000000000074,1.0066287108580725
81,NOR,3.0,1.0,MEDIUM,12.0,0 days 00:01:25.001000,12.0,85.001,lando norris,#eeb370,1025.615,1018.726,6.88900000000001,1.0067623678987285
82,NOR,3.0,1.0,MEDIUM,13.0,0 days 00:01:25.091000,13.0,85.091,lando norris,#eeb370,1110.706,1103.081,7.625,1.0069124570181156
83,NOR,3.0,1.0,MEDIUM,14.0,0 days 00:01:25.008000,14.0,85.008,lando norris,#eeb370,1195.714,1187.282,8.432000000000016,1.0071019353447623
84,NOR,3.0,1.0,MEDIUM,15.0,0 days 00:01:24.869000,15.0,84.869,lando norris,#eeb370,1280.583,1271.403,9.180000000000064,1.0072203699377775
85,NOR,3.0,1.0,MEDIUM,16.0,0 days 00:01:25.015000,16.0,85.015,lando norris,#eeb370,1365.598,1355.776,9.821999999999889,1.0072445595732629
86,NOR,3.0,1.0,MEDIUM,17.0,0 days 00:01:27.115000,17.0,87.115,lando norris,#eeb370,1452.713,1439.99,12.722999999999956,1.0088354780241529
87,NOR,5.0,2.0,HARD,18.0,0 days 00:01:40.528000,1.0,100.528,lando norris,#eeb370,1553.241,1524.185,29.05600000000004,1.0190633026830733
88,NOR,4.0,2.0,HARD,19.0,0 days 00:01:23.543000,2.0,83.543,lando norris,#eeb370,1636.7839999999999,1608.581,28.202999999999975,1.0175328441651368
89,NOR,3.0,2.0,HARD,20.0,0 days 00:01:23.941000,3.0,83.941,lando norris,#eeb370,1720.725,1692.646,28.07899999999995,1.0165888201076894
90,NOR,3.0,2.0,HARD,21.0,0 days 00:01:23.499000,4.0,83.499,lando norris,#eeb370,1804.224,1776.658,27.56600000000003,1.0155156479187328
91,NOR,3.0,2.0,HARD,22.0,0 days 00:01:23.881000,5.0,83.881,lando norris,#eeb370,1888.105,1861.018,27.08699999999999,1.0145549371365565
92,NOR,3.0,2.0,HARD,23.0,0 days 00:01:23.707000,6.0,83.707,lando norris,#eeb370,1971.812,1948.1689999999999,23.64300000000003,1.0121360107875652
93,NOR,2.0,2.0,HARD,24.0,0 days 00:01:23.847000,7.0,83.847,lando norris,#eeb370,2055.659,2050.176,5.483000000000175,1.0026744045389275
94,NOR,2.0,2.0,HARD,25.0,0 days 00:01:23.517000,8.0,83.517,lando norris,#eeb370,2139.176,2133.953,5.222999999999956,1.0024475703073124
95,NOR,2.0,2.0,HARD,26.0,0 days 00:01:23.732000,9.0,83.732,lando norris,#eeb370,2222.908,2217.67,5.237999999999829,1.0023619384308755
96,NOR,2.0,2.0,HARD,27.0,0 days 00:01:24.064000,10.0,84.064,lando norris,#eeb370,2306.9719999999998,2301.306,5.665999999999713,1.0024620802274882
97,NOR,2.0,2.0,HARD,28.0,0 days 00:01:24.453000,11.0,84.453,lando norris,#eeb370,2391.425,2384.993,6.432000000000244,1.002696863261234
98,NOR,2.0,2.0,HARD,29.0,0 days 00:01:24.136000,12.0,84.136,lando norris,#eeb370,2475.561,2468.755,6.80600000000004,1.0027568551759896
99,NOR,2.0,2.0,HARD,30.0,0 days 00:01:24.043000,13.0,84.043,lando norris,#eeb370,2559.604,2552.379,7.224999999999909,1.002830692463776
100,NOR,2.0,2.0,HARD,31.0,0 days 00:01:24.289000,14.0,84.289,lando norris,#eeb370,2643.893,2635.969,7.923999999999978,1.003006105155258
101,NOR,2.0,2.0,HARD,32.0,0 days 00:01:24.131000,15.0,84.131,lando norris,#eeb370,2728.024,2719.261,8.76299999999992,1.003222566719414
102,NOR,2.0,2.0,HARD,33.0,0 days 00:01:24.297000,16.0,84.297,lando norris,#eeb370,2812.321,2802.784,9.536999999999807,1.0034026881843194
103,NOR,2.0,2.0,HARD,34.0,0 days 00:01:24.224000,17.0,84.224,lando norris,#eeb370,2896.545,2886.291,10.253999999999905,1.0035526563329893
104,NOR,2.0,2.0,HARD,35.0,0 days 00:01:24.134000,18.0,84.134,lando norris,#eeb370,2980.679,2969.78,10.898999999999887,1.0036699688192392
105,NOR,2.0,2.0,HARD,36.0,0 days 00:01:24.536000,19.0,84.536,lando norris,#eeb370,3065.215,3053.065,12.150000000000091,1.0039796073781593
106,NOR,2.0,2.0,HARD,37.0,0 days 00:01:24.419000,20.0,84.419,lando norris,#eeb370,3149.634,3136.315,13.31899999999996,1.0042467035358373
107,NOR,2.0,2.0,HARD,38.0,0 days 00:01:24.607000,21.0,84.607,lando norris,#eeb370,3234.241,3219.785,14.456000000000131,1.004489740774617
108,NOR,2.0,2.0,HARD,39.0,0 days 00:01:24.773000,22.0,84.773,lando norris,#eeb370,3319.014,3303.928,15.08600000000024,1.004566080132497
109,NOR,2.0,2.0,HARD,40.0,0 days 00:01:24.797000,23.0,84.797,lando norris,#eeb370,3403.811,3387.633,16.17800000000034,1.0047756058581316
110,NOR,2.0,2.0,HARD,41.0,0 days 00:01:24.467000,24.0,84.467,lando norris,#eeb370,3488.278,3470.656,17.621999999999844,1.0050774262848292
111,NOR,2.0,2.0,HARD,42.0,0 days 00:01:24.480000,25.0,84.48,lando norris,#eeb370,3572.758,3553.965,18.792999999999665,1.0052878967575651
112,NOR,2.0,2.0,HARD,43.0,0 days 00:01:24.475000,26.0,84.475,lando norris,#eeb370,3657.233,3637.303,19.93000000000029,1.0054793345509023
113,NOR,2.0,2.0,HARD,44.0,0 days 00:01:26.696000,27.0,86.696,lando norris,#eeb370,3743.929,3721.075,22.85400000000027,1.006141773546623
114,NOR,3.0,3.0,MEDIUM,45.0,0 days 00:01:41.182000,4.0,101.182,lando norris,#eeb370,3845.111,3805.005,40.10599999999977,1.0105403278050882
